Image Filename,Caption
1.jpg,there are two creepy dolls sitting at a table with a candle
10.png,there is a painting of a clothing store with clothes on racks
11.png,there are five people doing a handstand on a red surface
12.png,there is a woman in a red dress holding an umbrella
13.jpg,painting of a man with a green shirt and a yellow background
14.jpg,there is a neon sign that says i know it think
15.jpg,there are many blue kites hanging from the ceiling in a building
16.jpg,arafed photograph of a man making a face with his hands
17.jpg,there is a man that is standing in front of a broken wall
18.JPG,there is a man with tattoos smoking a cigarette in front of a brick wall
19.jpg,painting of a woman sitting on a stool with a cat
2.jpg,a close up of a quilt with a picture of jesus on it
20.jpg,there is a blue stream of water coming out of a shower head
21.jpg,painting of a man with a hat and a tie
22.jpg,there is a painting of a bunch of flowers on a wall
23.jpg,there is a picture of a picture of a building in the middle of a city
24.jpg,painting of a row of yellow flags in a park with a dog
25.jpg,painting of a woman with long hair and a red dress
26.jpeg,painting of two women carrying fruit on their heads on the beach
26.jpg,there is a woman holding a bunch of carrots in her hand
27.jpg,painting of a woman sitting on a bench with a cat
28.jpg,painting of a group of naked people in a wooded area
29.jpg,arafed group of people in white clothes and hats standing on stage
3.png,painting of a mountain with a rainbow colored sky and clouds
31.png,there are three umbrellas and a wall with a painting on it
32.jpg,arafed image of a person with a neon light in their hand
33.jpg,a close up of a wall with a bunch of lights on it
34.jpg,painting of a man with fire on his back and hands on his chest
35.png,arafed room with chairs and tables arranged in a circle
36.jpg,someone is holding their hand up to their face with red nails
37.jpg,arafed man in a black shirt and pants holding a camera
38.png,araffature of a building with a lot of roofing and a lot of cars
39.jpg,there is a sculpture made of wood and paper hanging on a wall
4.jpg,painting of a woman sitting on a chair with a plant in her lap
40.jpg,there is a red bird with a long beak standing on a rock
41.png,there is a man and a woman walking through a field of grass
42.jpg,painting of a red and gold plate with a black background
43.png,drawing of a group of people sitting around a table eating
44.jpg,there is a man in a space suit walking in the desert
45.jpg,painting of a colorful abstract painting of a building with a clock
46.jpg,painting of a woman raising her fist in front of a painting of a man
47.jpg,painting of a green army vehicle and a tank in a forest
48.jpg,painting of a dog with a tennis ball in its mouth
49.jpg,there is a painting of a woman with a large smile on it
5.jpg,there is a picture of a painting of a man with a crown on it
50.jpg,painting of a woman with a finger up in a black dress
6.jpg,arafed woman with dreads and a chain around her head
7.png,painting of a mountain with a few layers of paint on it
8.jpg,painting of a group of people standing in front of a wall
9.png,there is a drawing of a pair of scissors with music notes on it
