Image Filename,Caption
101654506_8eb26cfb60.jpg,a dog running across a snow covered field 
101669240_b2d3e7f17b.jpg,two people standing on top of a snow covered slope 
102351840_323e3de834.jpg,two people standing next to each other in the snow 
102455176_5f8ead62d5.jpg,a man that is in the snow with a pair of skis 
103106960_e8a41d64f8.jpg,a young boy holding a baseball bat in front of a fence 
103195344_5d2dc613a3.jpg,a man standing next to a large clock on the side of a building 
103205630_682ca7285b.jpg,a tent in the middle of a snow covered field 
104136873_5b5d41be75.jpg,people sitting on top of a hill 
105342180_4d4a40b47f.jpg,a man holding a paddle in front of a body of water 
106490881_5a2dd9b7bd.jpg,a young boy standing on a beach holding a frisbee 
106514190_bae200f463.jpg,a person riding skis on top of a snow covered slope 
107318069_e9f2ef32de.jpg,a crowd of people standing on top of a lush green field 
107582366_d86f2d3347.jpg,a large group of people sitting at a table 
10815824_2997e03d76.jpg,a man standing next to a brown horse near a fire hydrant 
108898978_7713be88fc.jpg,people riding skis on top of a snow covered slope 
108899015_bf36131a57.jpg,people skiing down a snow covered slope 
109202756_b97fcdc62c.jpg,a woman riding on the back of a brown horse 
109202801_c6381eef15.jpg,a horse pulling a carriage with two people on it 
109260216_85b0be5378.jpg,a man that is standing in the dirt 
109260218_fca831f933.jpg,people standing on top of rocks near a waterfall 
109671650_f7bbc297fa.jpg,a man standing on top of a rock on top of a rock 
109738763_90541ef30d.jpg,a person on a motorcycle in the middle of a forest 
109738916_236dc456ac.jpg,a number of people riding on top of a snow covered slope 
109823394_83fcb735e1.jpg,a man riding on the back of a dirt bike 
109823395_6fb423a90f.jpg,a person on a dirt bike in the middle of a field 
109823397_e35154645f.jpg,a man riding a motorcycle on top of a dirt field 
110595925_f3395c8bd6.jpg,a man riding a bike down the side of a road 
111497985_38e9f88856.jpg,a woman standing on top of a hill next to a mountain 
111537217_082a4ba060.jpg,a man kneeling down on top of a rock wall 
111537222_07e56d5a30.jpg,a woman kneeling down on top of a rock 
